Time,Pedal Value
1709563247.1104906,0.2
1709563247.2109592,0.2
1709563247.3114018,0.2
1709563247.4117124,0.2
1709563247.512142,0.2
1709563247.6124692,0.2
1709563247.712584,0.2
1709563247.8132434,0.2
1709563247.9135237,0.2
1709563248.0138257,0.2
1709563248.1145904,0.2
1709563248.2150548,0.2
1709563248.3157275,0.2
1709563248.4161072,0.2
1709563248.516897,0.2
1709563248.6171143,0.2
1709563248.7176914,0.2
1709563248.8182397,0.2
1709563248.9185627,0.2
1709563249.0193617,0.2
1709563249.1200185,0.2
1709563249.220342,0.2
1709563249.320737,0.2
1709563249.421097,0.2
1709563249.5216937,0.2
1709563249.6218152,0.2
1709563249.7225173,0.2
1709563249.8230023,0.2
1709563249.923528,0.2
1709563250.0241325,0.2
1709563250.1248329,0.2
1709563250.2250626,0.2
1709563250.325688,0.2
1709563250.4261932,0.2
1709563250.5266392,0.2
1709563250.6272378,0.2
1709563250.7277672,0.2
1709563250.8284485,0.2
1709563250.9289963,0.2
1709563251.0293906,0.2
1709563251.1297219,0.2
1709563251.2304463,0.2
1709563251.3306367,0.2
1709563251.4309332,0.2
1709563251.5315547,0.2
1709563251.6321049,0.2
1709563251.732605,0.2
1709563251.8330474,0.2
1709563251.9334111,0.2
1709563252.0339932,0.2
1709563252.1346326,0.2
1709563252.2352517,0.2
1709563252.3352857,0.2
1709563252.4357512,0.2
1709563252.5360005,0.2
1709563252.6365364,0.2
1709563252.737144,0.2
1709563252.8374934,0.2
1709563252.9377806,0.2
1709563253.0383897,0.2
1709563253.138427,0.2
1709563253.2390802,0.2
1709563253.339432,0.2
1709563253.4400887,0.2
1709563253.5404992,0.2
1709563253.6410873,0.2
1709563253.741331,0.2
1709563253.8417995,0.2
1709563253.9422867,0.2
1709563254.0428376,0.2
1709563254.1432889,0.2
1709563254.243709,0.2
1709563254.3447618,0.2
1709563254.444816,0.2
1709563254.5452497,0.2
1709563254.6456614,0.2
1709563254.7460363,0.2
1709563254.8465052,0.2
1709563254.9470854,0.2
1709563255.0472987,0.2
1709563255.1479926,0.2
1709563255.2485187,0.2
1709563255.3488674,0.2
1709563255.4495788,0.2
1709563255.5500462,0.2
1709563255.6505427,0.2
1709563255.7508705,0.2
1709563255.851438,0.2
1709563255.952013,0.2
1709563256.052636,0.2
1709563256.153006,0.2
1709563256.2533684,0.2
1709563256.3542433,0.2
1709563256.4548104,0.2
1709563256.5552409,0.2
1709563256.6556535,0.2
1709563256.7562966,0.2
1709563256.8570333,0.2
1709563256.9571826,0.2
1709563257.057887,0.2
1709563257.1582017,0.2
1709563257.2586703,0.2
1709563257.359205,0.2
1709563257.4597151,0.2
1709563257.5601587,0.2
1709563257.660632,0.2
1709563257.760981,0.2
1709563257.861614,0.2
1709563257.962037,0.2
1709563258.0632615,0.0
1709563259.0662339,0.2
1709563259.1665268,0.2
1709563259.267037,0.2
1709563259.36758,0.2
1709563259.4681056,0.2
1709563259.5691097,0.2
1709563259.6696072,0.2
1709563259.7700765,0.2
1709563259.870608,0.2
1709563259.971143,0.2
1709563260.0717158,0.2
1709563260.1722736,0.2
1709563260.2726321,0.2
1709563260.3731146,0.2
1709563260.4736452,0.2
1709563260.5741584,0.2
1709563260.674762,0.2
1709563260.7752748,0.2
1709563260.8761873,0.2
1709563260.9772396,0.2
1709563261.0777037,0.2
1709563261.1781824,0.2
1709563261.2787662,0.2
1709563261.3789809,0.2
1709563261.4797528,0.2
1709563261.5801563,0.2
1709563261.6807082,0.2
1709563261.781097,0.2
1709563261.8815234,0.2
1709563261.9822156,0.2
1709563262.0828292,0.2
1709563262.1831145,0.2
1709563262.2834933,0.2
1709563262.3842795,0.2
1709563262.4851036,0.2
1709563262.5853922,0.2
1709563262.6859112,0.2
1709563262.7864988,0.2
1709563262.8869412,0.2
1709563262.98736,0.2
1709563263.088196,0.2
1709563263.1884573,0.2
1709563263.288929,0.2
1709563263.389432,0.2
1709563263.4900208,0.2
1709563263.590509,0.2
1709563263.6907961,0.2
1709563263.7913358,0.2
1709563263.891903,0.2
1709563263.9923377,0.2
1709563264.0929344,0.2
1709563264.1936517,0.2
1709563264.294533,0.2
1709563264.395,0.2
1709563264.4953825,0.2
1709563264.5959902,0.2
1709563264.696467,0.2
1709563264.796864,0.2
1709563264.8974946,0.2
1709563264.9979308,0.2
1709563265.0986001,0.2
1709563265.1990075,0.2
1709563265.2994437,0.2
1709563265.4000816,0.2
1709563265.5003302,0.2
1709563265.6009495,0.2
1709563265.7017114,0.2
1709563265.80202,0.2
1709563265.9025462,0.2
1709563266.003153,0.2
1709563266.1037366,0.2
1709563266.2043426,0.2
1709563266.3046682,0.2
1709563266.40506,0.2
1709563266.5056634,0.2
1709563266.6060903,0.2
1709563266.7066524,0.2
1709563266.807126,0.2
1709563266.9077034,0.2
1709563267.0081398,0.2
1709563267.1087224,0.2
1709563267.2092316,0.2
1709563267.3097572,0.2
1709563267.4102888,0.2
1709563267.5109737,0.2
1709563267.6113195,0.2
1709563267.7118568,0.2
1709563267.812385,0.2
1709563267.91274,0.2
1709563268.0141182,0.0
1709563247.1104906,0.2
1709563247.2109592,0.2
1709563247.3114018,0.2
1709563247.4117124,0.2
1709563247.512142,0.2
1709563247.6124692,0.2
1709563247.712584,0.2
1709563247.8132434,0.2
1709563247.9135237,0.2
1709563248.0138257,0.2
1709563248.1145904,0.2
1709563248.2150548,0.2
1709563248.3157275,0.2
1709563248.4161072,0.2
1709563248.516897,0.2
1709563248.6171143,0.2
1709563248.7176914,0.2
1709563248.8182397,0.2
1709563248.9185627,0.2
1709563249.0193617,0.2
1709563249.1200185,0.2
1709563249.220342,0.2
1709563249.320737,0.2
1709563249.421097,0.2
1709563249.5216937,0.2
1709563249.6218152,0.2
1709563249.7225173,0.2
1709563249.8230023,0.2
1709563249.923528,0.2
1709563250.0241325,0.2
1709563250.1248329,0.2
1709563250.2250626,0.2
1709563250.325688,0.2
1709563250.4261932,0.2
1709563250.5266392,0.2
1709563250.6272378,0.2
1709563250.7277672,0.2
1709563250.8284485,0.2
1709563250.9289963,0.2
1709563251.0293906,0.2
1709563251.1297219,0.2
1709563251.2304463,0.2
1709563251.3306367,0.2
1709563251.4309332,0.2
1709563251.5315547,0.2
1709563251.6321049,0.2
1709563251.732605,0.2
1709563251.8330474,0.2
1709563251.9334111,0.2
1709563252.0339932,0.2
1709563252.1346326,0.2
1709563252.2352517,0.2
1709563252.3352857,0.2
1709563252.4357512,0.2
1709563252.5360005,0.2
1709563252.6365364,0.2
1709563252.737144,0.2
1709563252.8374934,0.2
1709563252.9377806,0.2
1709563253.0383897,0.2
1709563253.138427,0.2
1709563253.2390802,0.2
1709563253.339432,0.2
1709563253.4400887,0.2
1709563253.5404992,0.2
1709563253.6410873,0.2
1709563253.741331,0.2
1709563253.8417995,0.2
1709563253.9422867,0.2
1709563254.0428376,0.2
1709563254.1432889,0.2
1709563254.243709,0.2
1709563254.3447618,0.2
1709563254.444816,0.2
1709563254.5452497,0.2
1709563254.6456614,0.2
